status,approach,model_slug,device_profile,prompt_strategy,seed,entity_type,tp,fp,fn,precision,recall,f1
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,DATE,64,345,279,0.15647921760391198,0.18658892128279883,0.1702127659574468
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,EVENT,11,75,84,0.12790697674418605,0.11578947368421053,0.12154696132596685
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,FAC,4,9,42,0.3076923076923077,0.08695652173913043,0.13559322033898305
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,GPE,126,545,440,0.18777943368107303,0.2226148409893993,0.20371867421180276
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,LANGUAGE,7,23,22,0.23333333333333334,0.2413793103448276,0.23728813559322037
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,LAW,1,6,5,0.14285714285714285,0.16666666666666666,0.15384615384615383
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,LOC,4,64,46,0.058823529411764705,0.08,0.06779661016949153
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,MONEY,0,4,5,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,NORP,31,58,181,0.34831460674157305,0.14622641509433962,0.20598006644518274
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,ORDINAL,8,41,96,0.16326530612244897,0.07692307692307693,0.1045751633986928
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,ORG,56,276,194,0.1686746987951807,0.224,0.19243986254295534
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,PERCENT,0,5,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,PERSON,306,329,348,0.4818897637795276,0.46788990825688076,0.4747866563227308
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,PRODUCT,7,29,54,0.19444444444444445,0.11475409836065574,0.14432989690721648
